snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
35.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
36.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
37.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
38.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
39.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
40.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
41.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
42.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
43.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
44.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
45.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
46.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
47.0,-172400.68206144526,-172400.68206144526,0.00342307640760784,-0.9977179490615948,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11108.0,-115288.0,172930.5034230764
48.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
49.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
50.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
51.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
52.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
53.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
54.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
55.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
56.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
57.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
58.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
59.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
60.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
